mode,load,0_efficientnet_b6-32,1_densenet169-4,2_resnet50-16
mps-uncap,1.0,548.1547163280271,71.77728986871088,822.102125075674
mig,1.0,398.8971303772343,235.95671457267693,672.9218999771082
