mode,load,0_efficientnet_b6-32,1_densenet169-4,2_resnet50-16
mps-uncap,1.0,58.368563652038574,55.93752861022949,17.82667636871338
mig,1.0,80.15060424804688,16.88075065612793,23.70595932006836
