mode,load,0_resnet18-8,1_resnet18-8,2_resnet18-8,3_resnet18-8
mig,0.1,204.29759166162825,206.17581867915152,201.0342697503161,99.74788045768531
mig,0.2,416.2749626358625,394.19853142629984,411.08654788196134,203.34567679019892
mig,0.3,597.9759466784064,594.5440310580133,592.6080312455781,311.5183577108312
mig,0.4,821.4217903704872,803.8014216287833,773.1957126110839,405.2006155965416
mig,0.5,995.8844057399267,985.799337275553,1008.1792686459942,505.39675005861113
mig,0.6,1186.055266487106,1220.0004050297184,1174.2419152124512,639.8980378187247
mig,0.7,1437.742057766815,1395.2258538743622,1401.034020942543,712.6918215908423
mig,0.8,1610.6525925839078,1562.0763787450342,1600.4501359436606,828.3956242064821
mig,0.9,1804.6035011856816,1793.9245664519888,1787.1279435431356,922.8906306068408
mig,1.0,2016.5592826356954,1963.2334723117476,1939.0537143370325,1043.6051118955354
