mode,load,0_alexnet-16,1_resnet34-8,2_vgg19-2
mps-uncap,0.8,2.521991729736328,6.183743476867676,4.373788833618164
mps-uncap,0.9,2.8417110443115234,7.233858108520508,4.910945892333984
mps-uncap,1.0,2.958536148071289,7.368803024291992,5.057573318481445
mps-uncap,0.5,2.039670944213867,6.082057952880859,3.306150436401367
mps-uncap,0.6,2.0406246185302734,5.180597305297852,3.3168792724609375
mps-uncap,0.7,2.286195755004883,5.190730094909668,3.8404464721679688
mps-uncap,0.1,2.847909927368164,7.614731788635254,3.2646656036376953
mps-uncap,0.2,2.753019332885742,7.817506790161133,3.224611282348633
mps-uncap,0.3,2.7723312377929688,7.398128509521484,3.2148361206054688
mps-uncap,0.4,2.1910667419433594,6.919384002685547,3.3044815063476562
