mode,load,0_alexnet-16,1_resnet34-8,2_vgg19-2
mps-uncap,0.8,3.049135208129883,7.597470283508301,5.243206024169923
mps-uncap,0.9,3.217935562133789,8.121967315673828,5.643033981323242
mps-uncap,1.0,3.3049583435058594,8.192062377929688,5.879402160644531
mps-uncap,0.5,3.031301498413086,7.994651794433594,4.569864273071288
mps-uncap,0.6,2.9189586639404297,7.421875000000001,4.618358612060547
mps-uncap,0.7,2.935123443603516,7.042288780212402,4.956650733947755
mps-uncap,0.1,3.62691879272461,8.123278617858887,4.0474653244018555
mps-uncap,0.2,3.7052154541015625,8.167076110839844,4.274868965148927
mps-uncap,0.3,3.5757780075073247,8.066797256469727,4.145264625549316
mps-uncap,0.4,3.55372428894043,8.140945434570312,4.41150665283203
