mode,load,0_alexnet-16,1_resnet34-8,2_vgg19-2
mps-uncap,0.8,5346.222371736262,772.6435041407328,335.2512825527688
mps-uncap,0.9,5670.024498594576,875.3679285863607,380.0925117830878
mps-uncap,1.0,5358.04917587542,992.4227891485253,391.2560673563756
mps-uncap,0.5,3238.4683985613965,477.49891162571527,203.28399278086897
mps-uncap,0.6,4005.6796942754077,588.0308393893031,248.70183595351935
mps-uncap,0.7,4662.387080077577,684.6340797645472,291.9179552656524
mps-uncap,0.1,683.048411449047,95.80123531069351,41.63129845241951
mps-uncap,0.2,1303.9161263219335,210.4958733517018,85.64799195206375
mps-uncap,0.3,1975.470793170645,297.506815629577,127.56933774155597
mps-uncap,0.4,2665.53624903919,384.3194404312476,165.61883266982082
