mode,load,0_squeezenet1_1-16,1_mobilenet_v3_small-2,2_resnet34-2
mps-uncap,1.0,2.5281906127929688,4.008293151855469,3.348827362060547
mig,1.0,3.849506378173828,3.969907760620117,3.6602020263671875
