mode,load,0_squeezenet1_1-16,1_mobilenet_v3_small-2,2_resnet34-2
mps-uncap,1.0,3.5140872001647954,4.506587982177734,3.9005279541015625
mig,1.0,5.334336757659911,4.3071746826171875,4.198384284973145
