mode,load,0_squeezenet1_1-16,1_mobilenet_v3_small-2,2_resnet34-2
mps-uncap,1.0,3.1609535217285156,4.387140274047852,3.7834644317626953
mig,1.0,4.366469383239746,4.125833511352539,3.840208053588867
