mode,load,0_squeezenet1_1-16,1_mobilenet_v3_small-2,2_resnet34-2
mps-uncap,1.0,5495.463202874762,477.48429151791254,561.7941009391352
mig,1.0,3875.8117272562713,494.7271714743417,533.3537037053034
