mode,load,0_squeezenet1_1-16,1_mobilenet_v3_small-2,2_resnet34-2
mps-uncap,1.0,2.8624534606933594,4.124164581298828,3.504514694213867
mig,1.0,4.009008407592773,4.01616096496582,3.7178993225097656
