mode,load,0_squeezenet1_1-16,1_mobilenet_v3_small-2,2_resnet34-2
mps-uncap,1.0,2.862215042114258,4.123926162719727,3.5042762756347656
mig,1.0,4.009008407592773,4.015922546386719,3.717660903930664
