mode,load,0_squeezenet1_1-16,1_mobilenet_v3_small-2,2_resnet34-2
mps-uncap,1.0,3.160715103149414,4.387044906616212,3.7833452224731445
mig,1.0,4.366397857666016,4.125833511352539,3.8399696350097656
