mode,load,0_squeezenet1_1-16,1_mobilenet_v3_small-2,2_resnet34-2
mps-uncap,1.0,3.513813018798828,4.50655460357666,3.9005279541015625
mig,1.0,5.334138870239258,4.307031631469727,4.198312759399414
