mode,load,0_squeezenet1_1-16,1_mobilenet_v3_small-2,2_resnet34-2
mps-uncap,1.0,0.0069141387939453125,0.005245208740234375,0.00667572021484375
mig,1.0,0.0057220458984375,0.0050067901611328125,0.000476837158203125
