mode,load,0_mobilenet_v2-32,1_densenet201-16,2_mobilenet_v3_small-32
mps-uncap,1.0,10.373592376708984,43.328285217285156,9.337186813354492
mig,1.0,11.957645416259766,45.836448669433594,6.811857223510742
