mode,load,0_mobilenet_v2-32,1_densenet201-16,2_mobilenet_v3_small-32
mps-uncap,1.0,2988.7685941472782,368.75858491895406,3548.750981105849
mig,1.0,2632.832500469805,348.3596307229869,4622.671790172371
