mode,load,0_alexnet-8,1_alexnet-8
mig,0.1,2.0475387573242188,2.344846725463867
mig,0.2,2.048015594482422,2.396106719970703
mig,0.3,2.0439624786376953,2.330303192138672
mig,0.4,1.7380714416503906,2.0072460174560547
mig,0.5,1.5358924865722656,1.8358230590820312
mig,0.6,1.5103816986083984,1.8067359924316406
mig,0.7,1.5044212341308594,1.7931461334228516
mig,0.8,1.5027523040771484,1.7871856689453125
mig,0.9,1.5039443969726562,1.7917156219482422
mig,1.0,1.5020370483398438,1.7843246459960938
