mode,load,0_efficientnet_b7-2,1_resnet18-8,2_squeezenet1_0-8
mps-uncap,0.8,61.26105785369873,5.576729774475098,7.097005844116211
mps-uncap,0.9,428.26902866363525,15.35189151763916,28.394341468811035
mps-uncap,1.0,3613.1200790405273,4094.473958015442,26.676058769226074
mps-uncap,0.5,25.568842887878418,3.397703170776367,3.063201904296875
mps-uncap,0.6,32.29355812072754,3.3233165740966797,3.6008358001708984
mps-uncap,0.7,43.90668869018555,4.042148590087891,4.675149917602539
mps-uncap,0.1,23.868441581726074,4.416108131408691,3.947019577026367
mps-uncap,0.2,23.310422897338867,4.453778266906738,3.890514373779297
mps-uncap,0.3,23.846149444580078,4.210233688354492,3.7539005279541016
mps-uncap,0.4,23.57947826385498,3.535747528076172,3.370523452758789
