mode,load,0_efficientnet_b5-16,1_mobilenet_v3_small-4,2_squeezenet1_0-32
mps-uncap,0.8,14.976024627685547,2.2830963134765625,5.546092987060547
mps-uncap,0.9,14.973878860473633,2.2954940795898438,5.553483963012695
mps-uncap,1.0,15.208721160888672,2.362489700317383,5.5446624755859375
mps-uncap,0.5,14.97960090637207,2.283811569213867,5.547523498535156
mps-uncap,0.6,15.019416809082031,2.2521018981933594,5.548238754272461
mps-uncap,0.7,14.947175979614258,2.2673606872558594,5.5446624755859375
mps-uncap,0.1,14.967203140258789,2.402067184448242,5.5599212646484375
mps-uncap,0.2,14.987707138061523,2.2945404052734375,5.553007125854492
mps-uncap,0.3,14.994621276855469,2.270221710205078,5.561590194702148
mps-uncap,0.4,14.946460723876953,2.270936965942383,5.563020706176758
