mode,load,0_efficientnet_b5-16,1_mobilenet_v3_small-4,2_squeezenet1_0-32
mps-uncap,0.8,174.61085319519043,36.24416351318359,55.76531648635864
mps-uncap,0.9,280.5035114288331,58.096504211425774,115.77558517456052
mps-uncap,1.0,1017.2734689712519,219.01616573333737,280.4373311996457
mps-uncap,0.5,63.891260623931984,19.685790538787845,25.83703994750977
mps-uncap,0.6,98.24173450469974,20.22729635238648,37.73988723754883
mps-uncap,0.7,100.53994178771973,24.791953563690008,34.32929277420045
mps-uncap,0.1,33.02229881286622,11.570570468902584,11.292867660522468
mps-uncap,0.2,38.30409049987793,12.042140960693395,14.258244037628174
mps-uncap,0.3,44.604063034057596,13.954811096191406,16.24997615814209
mps-uncap,0.4,55.05605936050414,18.41580867767334,19.6779465675354
