mode,load,0_vgg13-16,1_vgg13-16
mig,0.1,0.021219253540039062,0.021696090698242188
mig,0.2,0.019311904907226562,0.0133514404296875
mig,0.3,0.011444091796875,0.011205673217773438
mig,0.4,0.011444091796875,0.012159347534179688
mig,0.5,0.010251998901367188,0.012159347534179688
mig,0.6,0.011682510375976562,0.011682510375976562
mig,0.7,0.011205673217773438,0.010251998901367188
mig,0.8,0.011444091796875,0.010967254638671875
mig,0.9,0.011920928955078125,0.01239776611328125
mig,1.0,0.011205673217773438,0.011920928955078125
