mode,load,0_mobilenet_v2-16,1_resnet152-32,2_squeezenet1_0-8
mps-uncap,0.8,92.96507835388182,313.6345386505127,36.49411201477052
mps-uncap,0.9,200.2645492553711,1733.5796833038332,2134.4029903411865
mps-uncap,1.0,4034.6382617950444,9011.659812927248,8104.485464096068
mps-uncap,0.5,17.67377853393555,76.7521858215332,10.880804061889648
mps-uncap,0.6,22.640061378479004,106.82597160339357,13.338375091552736
mps-uncap,0.7,29.408979415893562,144.0068483352661,17.356753349304203
mps-uncap,0.1,12.154889106750492,43.350815773010254,5.39040565490723
mps-uncap,0.2,13.706541061401367,41.55445098876953,6.306767463684082
mps-uncap,0.3,15.25115966796875,56.88357353210449,7.459115982055665
mps-uncap,0.4,15.390658378601076,69.0584659576416,9.411096572875977
