mode,load,0_alexnet-32,1_densenet169-2,2_efficientnet_b6-32
mps-uncap,0.8,30.66919326782223,138.03611040115354,471.0855960845946
mps-uncap,0.9,52.39486217498779,352.64485359191895,718.7174201011657
mps-uncap,1.0,129.73016500473022,1124.8366928100584,3444.2758560180664
mps-uncap,0.5,13.06624889373778,69.81381416320801,153.79441738128622
mps-uncap,0.6,17.22584724426269,89.2202854156492,152.2279167175293
mps-uncap,0.7,20.644130706787113,113.13307762145992,235.77762365341184
mps-uncap,0.1,5.5469799041747985,40.76738357543943,67.92126178741456
mps-uncap,0.2,6.763768196105973,38.20719957351685,95.93222618103029
mps-uncap,0.3,9.338274002075188,51.2162017822266,82.31520652770998
mps-uncap,0.4,11.023406982421879,53.113102912903,108.47986936569221
