mode,load,0_alexnet-32,1_densenet169-2,2_efficientnet_b6-32
mps-uncap,0.8,5953.537166576357,34.17103361878497,459.4152490321721
mps-uncap,0.9,6776.743253695946,42.458097957527855,566.9693795603507
mps-uncap,1.0,7603.934064911528,45.649289762090554,605.9085127881739
mps-uncap,0.5,3707.431131110504,21.885562154443665,289.6045393846389
mps-uncap,0.6,4592.434572165731,26.376094838366104,360.183903996196
mps-uncap,0.7,5192.035156802753,31.107494654807258,430.28280637444055
mps-uncap,0.1,744.8570732391713,4.892096614291769,57.39893904087518
mps-uncap,0.2,1532.6893642333762,8.642640576886716,110.58064273115541
mps-uncap,0.3,2283.302043756006,12.458418510201962,169.951104567629
mps-uncap,0.4,3003.981565103734,18.789862903044945,220.73207952894074
