mode,load,0_alexnet-32,1_densenet169-2,2_efficientnet_b6-32
mps-uncap,0.8,6.538867950439453,50.217390060424805,54.75115776062012
mps-uncap,0.9,6.567478179931641,48.94137382507324,56.45608901977539
mps-uncap,1.0,6.657600402832031,50.11391639709473,57.06644058227539
mps-uncap,0.5,6.740808486938477,46.350717544555664,51.01346969604492
mps-uncap,0.6,7.092475891113281,45.59898376464844,51.44166946411133
mps-uncap,0.7,6.508350372314453,48.02513122558594,54.79621887207031
mps-uncap,0.1,6.337165832519531,35.04681587219238,40.27533531188965
mps-uncap,0.2,6.411075592041016,37.74857521057129,43.16258430480957
mps-uncap,0.3,6.89697265625,41.48721694946289,45.82047462463379
mps-uncap,0.4,6.457328796386719,41.52107238769531,48.18224906921387
