mode,load,0_alexnet-32,1_densenet169-2,2_efficientnet_b6-32
mps-uncap,0.8,5.274057388305664,37.9711389541626,88.52910995483398
mps-uncap,0.9,8.720993995666504,77.82912254333496,176.11515522003174
mps-uncap,1.0,19.8361873626709,569.6249008178711,2497.9851245880127
mps-uncap,0.5,2.8470754623413086,18.5086727142334,44.27504539489746
mps-uncap,0.6,3.581523895263672,23.283720016479492,47.58942127227783
mps-uncap,0.7,4.152774810791016,31.653642654418945,62.27767467498779
mps-uncap,0.1,2.3206472396850586,23.950576782226562,36.99469566345215
mps-uncap,0.2,2.303600311279297,22.803306579589844,38.10286521911621
mps-uncap,0.3,2.306699752807617,21.991729736328125,39.283037185668945
mps-uncap,0.4,2.322673797607422,18.237590789794922,41.338562965393066
