mode,load,0_inception_v3-2,1_mobilenet_v3_large-4,2_squeezenet1_1-32
mps-uncap,0.8,185.49571681925667,741.891776115567,5883.228628131457
mps-uncap,0.9,203.46549103818336,810.6788799072049,6519.095842011495
mps-uncap,1.0,202.62068447742746,809.4284754696353,6487.446587516585
mps-uncap,0.5,113.85930163671918,458.10785411014126,3746.053198970925
mps-uncap,0.6,135.76906820123352,546.8012804235236,4331.752493779996
mps-uncap,0.7,158.71933086483426,653.3869276188495,5037.968140929861
mps-uncap,0.1,22.835007950662394,93.86212253321206,751.850600316641
mps-uncap,0.2,45.09062164528957,192.07150808712487,1430.636986399621
mps-uncap,0.3,69.54106349430143,276.8672954256335,2246.253351019585
mps-uncap,0.4,92.88050695132782,381.2193761791174,2992.5838143218443
