mode,load,0_inception_v3-2,1_mobilenet_v3_large-4,2_squeezenet1_1-32
mps-uncap,0.8,99.46448802948002,76.885986328125,42.3714399337769
mps-uncap,0.9,1213.7163162231445,807.7324867248535,464.15314674377447
mps-uncap,1.0,7094.722843170167,6341.119647026062,7127.286672592163
mps-uncap,0.5,15.770840644836426,10.737419128417969,10.402584075927734
mps-uncap,0.6,22.88856506347656,16.867494583129883,12.215137481689453
mps-uncap,0.7,40.63971042633056,29.05206680297852,20.45321464538574
mps-uncap,0.1,8.006191253662113,6.757020950317383,3.2371044158935565
mps-uncap,0.2,10.148882865905765,8.222484588623045,4.372143745422365
mps-uncap,0.3,9.842395782470703,6.7130565643310565,5.746698379516601
mps-uncap,0.4,12.224578857421884,8.145141601562504,7.197237014770508
