mode,load,0_inception_v3-2,1_mobilenet_v3_large-4,2_squeezenet1_1-32
mps-uncap,0.8,153.78074884414679,121.54798984527591,70.81526756286623
mps-uncap,0.9,1476.0536718368528,882.6909065246581,596.170902252197
mps-uncap,1.0,7906.7579555511475,7028.535962104797,7842.48673915863
mps-uncap,0.5,32.77384996414182,22.77245521545409,20.400700569152825
mps-uncap,0.6,44.547061920166016,36.53318405151367,25.41309595108032
mps-uncap,0.7,77.30478525161746,55.13639450073247,45.439043045043896
mps-uncap,0.1,18.66466522216798,13.771986961364744,7.822825908660888
mps-uncap,0.2,22.875552177429192,16.746418476104733,9.719216823577876
mps-uncap,0.3,21.595621109008775,14.384641647338869,13.908710479736328
mps-uncap,0.4,26.09458446502685,18.63762378692628,15.952057838439963
