mode,load,0_inception_v3-2,1_mobilenet_v3_large-4,2_squeezenet1_1-32
mps-uncap,0.8,11.506638526916506,6.307435035705567,7.456579208374024
mps-uncap,0.9,10.657458305358885,5.934984683990478,5.024194717407227
mps-uncap,1.0,10.192699432373047,5.123162269592283,5.069851875305176
mps-uncap,0.5,11.181757450103758,6.867122650146483,8.200883865356445
mps-uncap,0.6,11.515836715698242,6.681270599365234,7.772624492645264
mps-uncap,0.7,11.611621379852295,6.500349044799807,7.662463188171386
mps-uncap,0.1,21.39211654663086,11.857581138610836,8.371415138244629
mps-uncap,0.2,19.46987628936767,11.090507507324219,7.829585075378417
mps-uncap,0.3,15.968999862670898,9.477252960205083,8.135561943054201
mps-uncap,0.4,12.903058528900146,7.842402458190924,8.094058036804203
