mode,load,0_inception_v3-2,1_mobilenet_v3_large-4,2_squeezenet1_1-32
mps-uncap,0.8,109.09969806671143,81.90937042236328,47.1580982208252
mps-uncap,0.9,1223.4737396240234,812.6720905303956,468.9715385437012
mps-uncap,1.0,7104.628801345825,6346.026539802551,7132.112503051758
mps-uncap,0.5,24.83649253845215,15.828609466552734,15.280771255493164
mps-uncap,0.6,32.10129737854004,21.95868492126465,16.965031623840332
mps-uncap,0.7,50.19690990447997,34.103322029113784,25.16093254089355
mps-uncap,0.1,22.658395767211914,16.520023345947266,9.530472755432129
mps-uncap,0.2,23.12352657318116,16.07694625854492,10.488080978393556
mps-uncap,0.3,19.820261001586918,12.71958351135254,11.56454086303711
mps-uncap,0.4,21.654343605041515,13.243484497070312,12.522315979003908
