mode,load,0_inception_v3-2,1_mobilenet_v3_large-4,2_squeezenet1_1-32
mps-uncap,0.8,213.51313591003418,168.8210964202881,102.1115779876709
mps-uncap,0.9,1546.457052230835,932.9285621643066,658.9794158935547
mps-uncap,1.0,8035.708427429199,7085.8776569366455,7957.672595977783
mps-uncap,0.5,65.39082527160645,48.18868637084961,40.16590118408203
mps-uncap,0.6,79.78606224060059,74.99861717224121,42.2055721282959
mps-uncap,0.7,141.6456699371338,88.37318420410156,87.6610279083252
mps-uncap,0.1,45.96519470214844,36.394596099853516,17.99750328063965
mps-uncap,0.2,39.35980796813965,36.87167167663574,22.466421127319336
mps-uncap,0.3,46.64921760559082,31.050443649291992,26.422739028930664
mps-uncap,0.4,61.0048770904541,38.370370864868164,39.67642784118652
