mode,load,0_inception_v3-2,1_mobilenet_v3_large-4,2_squeezenet1_1-32
mps-uncap,0.8,8.430242538452148,4.67991828918457,4.017114639282227
mps-uncap,0.9,8.568286895751953,4.738569259643555,4.2724609375
mps-uncap,1.0,8.936166763305664,4.668951034545898,4.418611526489258
mps-uncap,0.5,8.387327194213867,4.688501358032227,4.008293151855469
mps-uncap,0.6,8.425474166870117,4.719734191894531,4.010677337646484
mps-uncap,0.7,8.451223373413086,4.683732986450195,4.006624221801758
mps-uncap,0.1,8.464813232421875,4.734039306640625,4.011631011962891
mps-uncap,0.2,8.445262908935547,4.681587219238281,4.026651382446289
mps-uncap,0.3,8.525371551513672,4.6749114990234375,4.019975662231445
mps-uncap,0.4,8.576631546020508,4.792928695678711,4.004001617431641
