mode,load,0_inception_v3-2,1_mobilenet_v3_large-4,2_squeezenet1_1-32
mps-uncap,0.8,10.4628324508667,5.658149719238281,4.973411560058594
mps-uncap,0.9,9.972333908081055,4.997014999389648,4.971742630004883
mps-uncap,1.0,10.031414031982422,5.011081695556641,5.028009414672852
mps-uncap,0.5,10.13326644897461,5.933046340942383,6.667184829711914
mps-uncap,0.6,10.39886474609375,5.913591384887695,6.4896345138549805
mps-uncap,0.7,10.46459674835205,5.82888126373291,4.969072341918945
mps-uncap,0.1,19.8549747467041,11.179685592651367,7.2876930236816415
mps-uncap,0.2,15.94228744506836,10.104966163635254,6.852078437805176
mps-uncap,0.3,12.75148391723633,8.208942413330078,7.142305374145508
mps-uncap,0.4,11.016273498535158,6.223797798156738,7.020950317382813
