mode,load,0_inception_v3-2,1_mobilenet_v3_large-4,2_squeezenet1_1-32
mps-uncap,0.8,9.791851043701172,4.906892776489258,4.81724739074707
mps-uncap,0.9,9.780645370483398,4.882335662841797,4.879951477050781
mps-uncap,1.0,9.852409362792969,4.923343658447266,4.926204681396484
mps-uncap,0.5,9.145379066467285,5.051374435424805,4.64630126953125
mps-uncap,0.6,9.408712387084961,5.03087043762207,4.500389099121094
mps-uncap,0.7,9.631752967834473,4.9637556076049805,4.619359970092773
mps-uncap,0.1,16.734838485717773,10.585308074951172,6.351232528686523
mps-uncap,0.2,11.746406555175781,8.017659187316895,6.236910820007324
mps-uncap,0.3,9.909391403198242,5.581140518188477,4.730224609375
mps-uncap,0.4,9.539604187011719,5.099058151245117,4.626035690307617
