mode,load,0_inception_v3-2,1_mobilenet_v3_large-4,2_squeezenet1_1-32
mps-uncap,0.8,8.588552474975586,4.744052886962891,4.049539566040039
mps-uncap,0.9,8.982658386230469,4.823446273803711,4.409074783325195
mps-uncap,1.0,8.949518203735352,4.87065315246582,6.093502044677734
mps-uncap,0.5,8.438825607299805,4.716634750366211,4.025459289550781
mps-uncap,0.6,8.50057601928711,4.7664642333984375,4.026174545288086
mps-uncap,0.7,8.498430252075195,4.724025726318359,4.025936126708984
mps-uncap,0.1,8.650064468383789,5.058765411376953,4.024505615234375
mps-uncap,0.2,8.485078811645508,4.720211029052734,4.040956497192383
mps-uncap,0.3,8.575677871704102,4.715681076049805,4.038810729980469
mps-uncap,0.4,8.612871170043945,4.823446273803711,4.018068313598633
