mode,load,0_inception_v3-2,1_mobilenet_v3_large-4,2_squeezenet1_1-32
mps-uncap,0.8,203.7827968597412,163.85841369628906,97.2893238067627
mps-uncap,0.9,1536.9343757629395,927.9782772064209,654.0133953094482
mps-uncap,1.0,8024.758815765381,7080.955266952515,7950.125694274902
mps-uncap,0.5,56.63251876831055,42.66619682312012,34.96742248535156
mps-uncap,0.6,70.68395614624023,69.35930252075195,37.60170936584473
mps-uncap,0.7,131.819486618042,83.4658145904541,83.04190635681152
mps-uncap,0.1,31.4486026763916,27.323246002197266,12.161731719970703
mps-uncap,0.2,26.894569396972656,29.087305068969727,18.077373504638672
mps-uncap,0.3,37.47248649597168,26.251554489135742,20.98989486694336
mps-uncap,0.4,52.34646797180176,33.06293487548828,33.77985954284668
