mode,load,0_densenet121-32,1_mobilenet_v3_large-32,2_resnet50-32
mps-uncap,0.8,550.7971442550336,1547.9588956245072,1206.0002999027947
mps-uncap,0.9,585.3764552418379,1722.9009104372903,1346.5054447162959
mps-uncap,1.0,658.9251772298809,1663.6874351797155,1302.125061291382
mps-uncap,0.5,337.8248353837401,949.5822317283989,785.0760148533495
mps-uncap,0.6,413.7746134397208,1101.8482197996025,918.2275160537313
mps-uncap,0.7,480.1696753179599,1365.2425051109183,1096.6106431072317
mps-uncap,0.1,61.05840214904466,194.14220973114925,152.62256235267932
mps-uncap,0.2,134.54513465053424,367.85314842622677,287.3738283935582
mps-uncap,0.3,192.70705422222244,576.083837631365,449.1697495990607
mps-uncap,0.4,260.88646193461074,816.666196906495,605.397454985243
