mode,load,0_densenet121-32,1_mobilenet_v3_large-32,2_resnet50-32
mps-uncap,0.8,321.9424343109131,237.8936290740963,371.6645193099977
mps-uncap,0.9,451.83178424835205,765.8481359481813,1854.5246505737305
mps-uncap,1.0,2963.8944292068486,7509.236159324646,7432.431631088257
mps-uncap,0.5,115.43853521347035,51.829290390014684,82.80357360839837
mps-uncap,0.6,110.708224773407,64.76504325866709,128.1542634963988
mps-uncap,0.7,179.7883224487305,96.33172512054443,170.78748226165777
mps-uncap,0.1,47.53535985946658,27.91590213775636,34.96295928955078
mps-uncap,0.2,49.33977127075192,26.043610572814938,36.18695259094237
mps-uncap,0.3,58.10251235961911,26.310997009277344,47.36657142639158
mps-uncap,0.4,76.12376689910904,35.873610973358154,61.55066013336175
