mode,load,0_densenet201-32,1_mobilenet_v2-4,2_resnet34-16
mps-uncap,0.6,369.4805047338437,575.4745545350211,783.447072881333
mig,0.6,385.0252073749295,584.9767200480157,800.151045145645
mps-uncap,0.7,439.5358023774741,683.7126700733089,899.9786212864633
mig,0.7,418.5843718117274,687.253964569852,938.426160466852
mps-uncap,0.8,493.92514450750116,790.8529565554611,1033.6565116829527
mig,0.8,501.5054633616424,780.5953875976769,1040.2440088904004
mps-uncap,0.9,572.7191535214891,825.0295512788244,1168.9797307089548
mig,0.9,550.6871712308089,864.9419201351196,1183.7141819779963
mps-uncap,1.0,595.6506927953694,763.5677176827747,1305.4796739389324
mig,1.0,608.7526441793273,960.1892650881598,1304.9967934065035
mps-uncap,1.1,662.1433819758515,771.1667345383074,1465.5289445726933
mig,1.1,617.4235408485715,981.4639398092969,1321.3573000208335
mps-uncap,1.2,687.3386220894124,759.5237589268312,1574.3994385263716
mig,1.2,620.8047393228298,986.3787311030763,1324.5778892961014
mps-uncap,1.3,683.5656498796449,675.945214071172,1683.9235548206939
mig,1.3,620.0666057232824,956.8515288958761,1325.5140315146589
