mode,load,0_densenet201-32,1_mobilenet_v2-4,2_resnet34-16
mps-uncap,0.6,37.339091300964355,4.21905517578125,6.244659423828125
mig,0.6,51.01823806762695,4.0950775146484375,11.759519577026367
mps-uncap,0.7,38.46383094787598,4.2868852615356445,7.353544235229492
mig,0.7,50.96578598022461,4.117250442504883,11.76309585571289
mps-uncap,0.8,38.76471519470215,4.311323165893555,8.066654205322266
mig,0.8,51.00691318511963,4.085540771484375,11.790037155151367
mps-uncap,0.9,42.284488677978516,4.340171813964844,8.684635162353516
mig,0.9,51.03325843811035,4.062891006469727,11.842727661132812
mps-uncap,1.0,43.30158233642578,4.596590995788574,7.96198844909668
mig,1.0,51.268577575683594,4.059791564941406,11.887788772583008
mps-uncap,1.1,45.687198638916016,4.708528518676758,9.381771087646484
mig,1.1,51.32436752319336,4.050731658935547,11.962413787841797
mps-uncap,1.2,46.32413387298584,4.831075668334961,9.643077850341797
mig,1.2,51.167964935302734,4.033327102661133,11.977434158325195
mps-uncap,1.3,46.98073863983154,5.5084228515625,8.730649948120117
mig,1.3,51.15854740142822,4.154443740844727,11.919498443603516
