mode,load,0_densenet201-32,1_mobilenet_v2-4,2_resnet34-16
mps-uncap,0.6,152.7082920074463,41.21661186218262,44.033050537109375
mig,0.6,466.9346809387207,31.16893768310547,88.20223808288574
mps-uncap,0.7,195.53709030151367,90.68155288696289,66.11061096191406
mig,0.7,366.8334484100342,42.67096519470215,126.76095962524414
mps-uncap,0.8,249.34005737304688,259.3538761138916,65.63615798950195
mig,0.8,578.2973766326904,70.50132751464844,177.80518531799316
mps-uncap,0.9,533.4208011627197,5412.614822387695,89.29014205932617
mig,0.9,541.17751121521,104.4166088104248,224.38359260559082
mps-uncap,1.0,628.1671524047852,17697.646379470825,121.39201164245605
mig,1.0,2453.030824661255,338.454008102417,687.4897480010986
mps-uncap,1.1,1671.9353199005127,25963.647842407227,216.51911735534668
mig,1.1,8644.87099647522,8466.582536697388,7717.848777770996
mps-uncap,1.2,8770.052909851074,31732.73515701294,904.4878482818604
mig,1.2,14716.362953186035,13155.192852020264,16479.340314865112
mps-uncap,1.3,15199.909925460815,42487.462282180786,632.3084831237793
mig,1.3,22368.77202987671,22248.115301132202,21362.905979156494
