mode,load,0_densenet201-32,1_mobilenet_v2-4,2_resnet34-16
mps-uncap,0.6,28.99646759033203,3.961801528930664,3.8766860961914062
mig,0.6,49.860477447509766,3.946065902709961,11.434555053710938
mps-uncap,0.7,28.818607330322266,4.055500030517578,3.812551498413086
mig,0.7,49.87668991088867,4.010438919067383,11.444807052612305
mps-uncap,0.8,29.46615219116211,4.051923751831055,3.872394561767578
mig,0.8,49.91269111633301,3.9861202239990234,11.43193244934082
mps-uncap,0.9,28.989553451538086,4.025936126708984,4.201650619506836
mig,0.9,49.88551139831543,3.9658546447753906,11.417150497436523
mps-uncap,1.0,31.48031234741211,4.003763198852539,4.126071929931641
mig,1.0,50.15063285827637,3.964662551879883,11.454582214355469
mps-uncap,1.1,32.78708457946777,4.024267196655273,4.267215728759766
mig,1.1,50.41217803955078,3.9408206939697266,11.504173278808594
mps-uncap,1.2,33.000946044921875,3.997325897216797,4.3811798095703125
mig,1.2,50.43601989746094,3.938913345336914,11.564254760742188
mps-uncap,1.3,30.07984161376953,4.009008407592773,4.407644271850586
mig,1.3,50.06575584411621,4.056453704833984,11.498689651489258
