mode,load,0_vgg11-32,1_vgg13-2,2_vgg19-2
mps-uncap,0.8,263.9312744140625,61.84720993041992,203.03630828857422
mps-uncap,0.9,628.3729076385498,196.03872299194336,293.49303245544434
mps-uncap,1.0,6094.522953033447,142.34590530395508,3993.014335632324
mps-uncap,0.5,83.14752578735352,33.173322677612305,53.05838584899902
mps-uncap,0.6,88.1052017211914,35.400390625,64.30602073669434
mps-uncap,0.7,192.18945503234863,59.88049507141113,106.65702819824219
mps-uncap,0.1,34.24334526062012,15.10930061340332,24.01900291442871
mps-uncap,0.2,43.187618255615234,18.590450286865234,15.944957733154297
mps-uncap,0.3,61.31458282470703,25.172710418701172,26.056528091430664
mps-uncap,0.4,61.51127815246582,28.12814712524414,32.61208534240723
