mode,load,0_vgg11-32,1_vgg13-2,2_vgg19-2
mps-uncap,0.8,116.00160598754883,23.355102539062504,65.93816280364992
mps-uncap,0.9,414.3829345703125,86.81716918945315,185.469388961792
mps-uncap,1.0,5315.210461616516,49.89547729492188,3587.2078895568848
mps-uncap,0.5,32.626008987426765,11.834573745727539,13.691306114196777
mps-uncap,0.6,40.72296619415283,13.338851928710941,18.760371208190925
mps-uncap,0.7,52.593231201171875,20.366787910461426,24.14653301239015
mps-uncap,0.1,19.248032569885254,4.337310791015625,5.372977256774902
mps-uncap,0.2,19.131040573120117,7.372498512268067,8.749151229858402
mps-uncap,0.3,23.941349983215332,9.079504013061527,10.464859008789062
mps-uncap,0.4,25.777339935302734,10.37592887878418,11.834573745727539
