mode,load,0_vgg11-32,1_vgg13-2,2_vgg19-2
mps-uncap,0.8,1969.2202570252095,131.4609987824928,119.7017474184285
mps-uncap,0.9,2192.559194947208,146.48714791957352,135.9119920517631
mps-uncap,1.0,2198.4590781895186,160.8056671281214,137.93991834247913
mps-uncap,0.5,1221.2910713898243,78.95834211788085,73.84569315771736
mps-uncap,0.6,1424.0518760818961,93.66822776373431,90.26249458301885
mps-uncap,0.7,1671.4616106688143,111.09508748512715,105.39765110900662
mps-uncap,0.1,244.23154142815278,16.746309857770633,14.541619307093397
mps-uncap,0.2,489.9541014438446,32.0393223992056,28.45040707141792
mps-uncap,0.3,735.8141276706896,47.642933918870376,46.521440497979924
mps-uncap,0.4,963.5695491013696,65.22867038809686,59.044072765792436
