mode,load,0_alexnet-2,1_mobilenet_v3_small-16,2_resnet152-4
mps-uncap,0.8,2.132892608642578,8.197641372680664,22.78919219970703
mps-uncap,0.9,3.6394596099853516,17.695999145507816,36.85498237609863
mps-uncap,1.0,6.080818176269532,1123.3468770980835,451.8133878707887
mps-uncap,0.5,1.326441764831543,5.826354026794434,12.288141250610353
mps-uncap,0.6,1.4264106750488288,5.058169364929199,13.203144073486328
mps-uncap,0.7,1.4395713806152344,6.732463836669922,19.424772262573246
mps-uncap,0.1,0.05602836608886719,2.77478694915772,1.5438556671142556
mps-uncap,0.2,0.5956649780273441,5.177879333496094,10.572147369384766
mps-uncap,0.3,0.8316516876220705,6.25748634338379,10.924625396728521
mps-uncap,0.4,1.0484695434570317,6.102561950683594,12.087106704711914
