mode,load,0_alexnet-2,1_mobilenet_v3_small-16,2_resnet152-4
mps-uncap,0.8,2.269744873046875,4.62794303894043,15.13981819152832
mps-uncap,0.9,2.3136138916015625,4.469871520996094,14.221906661987305
mps-uncap,1.0,2.225160598754883,4.661798477172852,15.459537506103516
mps-uncap,0.5,2.0999908447265625,6.736516952514648,19.474029541015625
mps-uncap,0.6,2.193927764892578,5.6591033935546875,18.95427703857422
mps-uncap,0.7,2.139568328857422,5.322694778442383,14.68658447265625
mps-uncap,0.1,1.3704299926757812,7.110357284545898,19.72198486328125
mps-uncap,0.2,1.9774436950683594,7.516622543334961,20.029306411743164
mps-uncap,0.3,2.3186206817626953,7.089853286743164,20.069122314453125
mps-uncap,0.4,2.029895782470703,6.884336471557617,20.356416702270508
