mode,load,0_inception_v3-8,1_resnet152-8,2_vgg16-32
mps-uncap,0.8,134.74130714428964,74.8658637170362,1223.7531830387393
mps-uncap,0.9,157.5237476115038,84.74046491539123,1352.4012550573345
mps-uncap,1.0,170.46093439398146,85.45238206533381,1514.5501590122751
mps-uncap,0.5,82.78297208920623,46.351433796669106,768.2160848314126
mps-uncap,0.6,105.90096174348585,59.93504776644858,893.3955756359403
mps-uncap,0.7,118.21796993841602,70.26247224131363,1047.029556762568
mps-uncap,0.1,16.563811155180645,10.249404298518062,158.85018840749743
mps-uncap,0.2,33.541443677417504,17.985648299341307,298.60829402429505
mps-uncap,0.3,53.26292106248302,30.519404376709097,437.00003658243526
mps-uncap,0.4,69.79963704356612,37.38586742114011,620.7465646825168
