mode,load,0_efficientnet_b5-32,1_mobilenet_v2-16,2_resnet18-4
mps-uncap,0.8,680.3164766060607,1376.924295422963,502.4137952786315
mps-uncap,0.9,698.7468138257462,1557.1203821269846,552.6307203993794
mps-uncap,1.0,777.0497800345056,1694.5305838969107,634.3308633610285
mps-uncap,0.5,411.6115308609212,832.5244458205384,309.5322730502597
mps-uncap,0.6,479.7079709924539,976.9872872720524,371.3634677398146
mps-uncap,0.7,557.8949052226652,1174.0943314806766,427.4274012561615
mps-uncap,0.1,85.05912454226826,180.7211339695197,65.55810383111026
mps-uncap,0.2,145.34630220850352,342.5184126190666,121.9058004373751
mps-uncap,0.3,231.0087541627391,503.44855209678946,190.54572570739586
mps-uncap,0.4,308.215022999008,683.6876427763023,246.8269319754543
