mode,load,0_alexnet-2,1_efficientnet_b6-8,2_vgg16-2
mps-uncap,0.8,1073.3023819738225,250.94191814463053,417.4674675665409
mps-uncap,0.9,1214.7152661195864,278.403286479019,467.9125674954438
mps-uncap,1.0,1359.482612766642,321.5925759717482,526.366360939533
mps-uncap,0.5,680.1678069721402,150.72269261503976,256.50066616923965
mps-uncap,0.6,820.2692282664884,188.08596630626522,312.4416376772085
mps-uncap,0.7,926.2587009132361,227.00956614868943,354.3078982255984
mps-uncap,0.1,133.97714118619592,33.79521696516232,51.30387556877599
mps-uncap,0.2,271.3697419109677,72.940199142117,103.52088491821871
mps-uncap,0.3,403.96629226424886,99.4637214535852,157.91655050701738
mps-uncap,0.4,538.2844607152697,122.59148258942493,212.10566381211828
