mode,load,0_alexnet-2,1_efficientnet_b6-8,2_vgg16-2
mps-uncap,0.8,4.036426544189453,69.1408157348633,10.440850257873551
mps-uncap,0.9,5.942988395690919,107.34539031982422,20.360422134399418
mps-uncap,1.0,32.075738906860366,962.3374462127687,254.4518232345581
mps-uncap,0.5,2.133178710937499,30.746173858642578,5.063676834106446
mps-uncap,0.6,2.750396728515625,36.51905059814452,6.41441345214844
mps-uncap,0.7,2.9561996459960938,46.98019027709961,7.855224609374997
mps-uncap,0.1,1.3364553451538086,25.603961944580078,2.6355981826782227
mps-uncap,0.2,1.5058517456054688,28.941869735717773,3.467273712158203
mps-uncap,0.3,1.7587661743164078,27.206897735595703,3.890132904052735
mps-uncap,0.4,1.8913745880126953,28.556013107299805,4.215908050537109
