mode,load,0_vgg16-16,1_inception_v3-4,2_resnet18-4
mig,0.1,71.96443703459528,47.474871683684945,146.16257465513652
mig,0.2,141.04547214677055,96.24703280449165,292.71668921524554
mig,0.3,218.58201005945816,141.92508626977974,429.27268179964307
mig,0.4,284.19649620220554,191.08498705083542,576.2982034924005
mig,0.5,367.93204335646925,240.22234828160595,698.4612604686672
mig,0.6,432.0447824961085,283.60936904180846,849.4694619567302
mig,0.7,500.6876648057536,330.7057357821577,985.906387805401
mig,0.8,572.4606481111483,375.6010049439764,1144.8460905914794
mig,0.9,659.0229327023523,421.6117533485298,1272.4726918331223
mig,1.0,705.1519397176503,429.18660381327885,1420.975638392004
mig,1.1,667.5359634738676,418.30122002136386,1400.680091124034
mig,1.2,706.9511226390788,428.11617012007895,1425.7276126968934
mig,1.3,707.0096933560513,428.85954128583495,1423.5242366818613
mig,1.4,707.0677350395487,427.72465674729074,1424.9648597561531
mig,1.5,706.8120670032066,428.1339754165347,1424.5231993291868
ts,0.1,70.5592418894157,46.51097931577876,146.77834820500846
ts,0.2,146.00581696229284,93.72702200367104,295.2717128049373
ts,0.3,225.98483325274853,141.94263548283598,441.07377567939517
ts,0.4,283.0297750306311,186.49258092850857,572.0881175971401
ts,0.5,365.44198761550774,237.7656910983155,714.7740002902402
ts,0.6,418.97733744357276,278.9881678861465,858.2814732071496
ts,0.7,509.81356594884136,329.9559049365214,984.6776855435345
ts,0.8,580.5856168921795,376.9327153749237,786.3371717860974
ts,0.9,597.0249142488706,373.185769282838,746.8160293727427
ts,1.0,599.8516869547897,375.31558528295096,751.7080974981717
ts,1.1,597.3952676289792,373.3410061542851,747.3201884714196
ts,1.2,599.2799392747942,374.4619408483341,749.136569717375
ts,1.3,589.8163552093939,368.4092173368065,744.3546032816192
ts,1.4,599.2730162705357,374.42046300484645,749.0184933415738
ts,1.5,595.1446059478227,371.9041169468878,743.9143495799979
mps-uncap,0.1,74.48196229172581,48.1553647011177,145.34160017648674
mps-uncap,0.2,143.05676387010018,96.29192957330322,295.41704396164204
mps-uncap,0.3,213.58879682176095,144.79326372332704,437.9817016140192
mps-uncap,0.4,291.0442553158536,187.91518646550546,575.5428178131415
mps-uncap,0.5,354.57543182283825,241.06842648239504,712.4411834159428
mps-uncap,0.6,438.6055209764036,286.35874924589297,851.2584163272262
mps-uncap,0.7,510.23507303744793,328.41242276646216,1009.8480293306818
mps-uncap,0.8,571.4902155260492,350.0136941259388,1154.3209975997106
mps-uncap,0.9,628.8616644423523,332.8288260683558,1262.1696743133239
mps-uncap,1.0,694.7657307981793,316.780526156704,1282.9197688563124
mps-uncap,1.1,789.2626783678944,294.13520171735513,1095.4071123264446
mps-uncap,1.2,855.1838925899963,271.32492647125656,1064.1384160170658
mps-uncap,1.3,927.2988127115294,256.0910775559425,987.9677120032018
mps-uncap,1.4,1006.622831107751,220.15397137628946,918.6704677101621
mps-uncap,1.5,1068.665819205621,210.84295693135388,788.0891255716938
