mode,load,0_mobilenet_v3_large-16,1_squeezenet1_1-32,2_vgg19-8
mps-uncap,0.8,2.8464794158935547,3.5202503204345703,5.933523178100586
mps-uncap,0.9,2.869844436645508,3.538846969604492,5.977153778076172
mps-uncap,1.0,2.933979034423828,3.5834312438964844,5.984067916870117
mps-uncap,0.5,2.862215042114258,3.5114288330078125,5.952119827270508
mps-uncap,0.6,2.844572067260742,3.5223960876464844,5.955696105957031
mps-uncap,0.7,2.8662681579589844,3.5009384155273438,5.93876838684082
mps-uncap,0.1,2.9840469360351562,3.500699996948242,5.934000015258789
mps-uncap,0.2,2.8302669525146484,3.51715087890625,5.93113899230957
mps-uncap,0.3,2.8200149536132812,3.5161972045898438,5.92041015625
mps-uncap,0.4,2.8471946716308594,3.5047531127929688,5.913496017456055
