mode,load,0_mobilenet_v3_large-16,1_squeezenet1_1-32,2_vgg19-8
mps-uncap,0.8,14.833307266235355,17.35687255859375,23.791408538818374
mps-uncap,0.9,25.518131256103523,40.24467468261722,47.89361953735352
mps-uncap,1.0,96.61965370178223,627.9478549957275,546.7888355255127
mps-uncap,0.5,6.700992584228516,4.280805587768555,6.827116012573242
mps-uncap,0.6,6.986379623413086,6.436300277709962,11.127233505249023
mps-uncap,0.7,9.992885589599616,8.706998825073242,13.251042366027832
mps-uncap,0.1,0.06937980651855469,0.06651878356933594,0.0682830810546875
mps-uncap,0.2,1.1993408203125042,0.072479248046875,1.2129306793212895
mps-uncap,0.3,2.701807022094731,1.2960910797119123,3.509950637817382
mps-uncap,0.4,5.1253318786621085,2.343869209289554,5.286312103271485
