mode,load,0_mobilenet_v3_large-16,1_squeezenet1_1-32,2_vgg19-8
mps-uncap,0.8,862.3409280391581,2629.773348832892,634.0064389981777
mps-uncap,0.9,989.0991702061726,2858.3433770468077,727.3558786869321
mps-uncap,1.0,1100.4148188129254,3240.5636638879937,816.3592647406908
mps-uncap,0.5,551.5249670216575,1608.353564952252,399.4277676203939
mps-uncap,0.6,660.1313364896843,1930.8729899481732,484.3219750795308
mps-uncap,0.7,738.9185374765979,2221.328669735258,557.872998360911
mps-uncap,0.1,108.06351775567337,349.35340030637525,86.55033857354503
mps-uncap,0.2,213.83621068062325,613.9953829178552,156.10132580322232
mps-uncap,0.3,320.0375462490118,987.2682947725118,236.35959655232926
mps-uncap,0.4,420.11464055634065,1245.93889549699,322.26348503256264
