mode,load,0_mobilenet_v3_large-16,1_squeezenet1_1-32,2_vgg19-8
mps-uncap,0.8,16.149139404296875,10.230684280395508,10.452370643615723
mps-uncap,0.9,15.968937873840332,10.677871704101562,10.641193389892578
mps-uncap,1.0,16.20863914489746,10.851359367370605,10.90311050415039
mps-uncap,0.5,13.446073532104485,9.949839115142822,9.421944618225098
mps-uncap,0.6,13.733267784118658,10.018916130065918,9.76417064666748
mps-uncap,0.7,15.38413047790527,9.897174835205076,10.041530132293701
mps-uncap,0.1,10.095524787902843,8.275473117828358,8.543076515197754
mps-uncap,0.2,10.396461486816406,8.658361434936523,8.970317840576174
mps-uncap,0.3,11.114935874938965,9.310722351074215,9.206542968749998
mps-uncap,0.4,11.664018630981442,9.493446350097654,9.251470565795897
