mode,load,0_efficientnet_b7-8,1_efficientnet_b7-8
mig,0.1,40.23923873901367,44.83736753463748
mig,0.2,34.40527200698842,31.783282756805413
mig,0.3,26.174657344818115,31.745119094848636
mig,0.4,26.2317156791687,31.84724807739258
mig,0.5,26.084065437316895,31.640207767486565
mig,0.6,26.491522789001465,31.668806076049798
mig,0.7,26.25568389892578,31.70329093933106
mig,0.8,26.372511386871338,31.874113082885742
mig,0.9,26.537036895751935,31.943547725677494
mig,1.0,26.69400453567505,32.131385803222656
