mode,load,0_efficientnet_b7-8,1_efficientnet_b7-8
mig,0.1,33.9925478415506,26.304073004747245
mig,0.2,69.10867919370527,57.29267077090986
mig,0.3,100.02834925148939,78.74992068441615
mig,0.4,129.53836709766045,108.70971478115018
mig,0.5,170.2863625176961,136.00393806547845
mig,0.6,193.5534428945641,164.39828642755552
mig,0.7,236.83543406127518,181.5268310699218
mig,0.8,266.91074947080176,212.6007781813656
mig,0.9,302.4575590001897,254.80819889797164
mig,1.0,312.99907814487597,258.37346720600505
