mode,load,0_densenet201-32,1_efficientnet_b5-32,2_inception_v3-16
mps-uncap,1.0,64.20636177062988,39.533138275146484,20.926237106323242
mig,1.0,50.80270767211914,102.35238075256348,16.853809356689453
