mode,load,0_densenet201-32,1_efficientnet_b5-32,2_inception_v3-16
mps-uncap,1.0,451.12798663028815,597.4665285944974,459.0185834150058
mig,1.0,618.5939903787189,308.67650987175983,917.5679524776523
