mode,load,0_vgg13-16,1_mobilenet_v3_small-4,2_squeezenet1_0-2
mps-uncap,0.6,62.23750114440918,98.59848022460938,100.85892677307129
mig,0.6,153.14292907714844,40.14992713928223,24.64604377746582
mps-uncap,0.7,46.7219352722168,131.04939460754395,149.56259727478027
mig,0.7,204.2098045349121,61.0194206237793,24.556636810302734
mps-uncap,0.8,53.97820472717285,1413.231372833252,12267.788648605347
mig,0.8,300.3113269805908,65.77110290527344,32.27424621582031
mps-uncap,0.9,50.6901741027832,15009.723663330078,22222.917079925537
mig,0.9,630.2580833435059,91.40801429748535,60.11319160461426
mps-uncap,1.0,61.402082443237305,22527.43673324585,33215.12246131897
mig,1.0,2115.109920501709,1177.229642868042,460.4465961456299
mps-uncap,1.1,73.10056686401367,34883.02826881409,39859.37976837158
mig,1.1,8420.11308670044,7768.826007843018,7584.108352661133
mps-uncap,1.2,81.60591125488281,40410.677671432495,46392.6944732666
mig,1.2,15744.948148727417,14560.054063796997,14803.327322006226
mps-uncap,1.3,133.16035270690918,47421.151876449585,53081.761598587036
mig,1.3,20949.646949768066,20791.274070739746,19663.72561454773
