mode,load,0_vgg13-16,1_mobilenet_v3_small-4,2_squeezenet1_0-2
mps-uncap,0.6,13.988733291625977,14.144182205200195,10.844230651855469
mig,0.6,27.103900909423828,14.101028442382812,11.64698600769043
mps-uncap,0.7,14.091968536376953,13.445377349853516,12.07113265991211
mig,0.7,22.588014602661133,10.771036148071289,14.517068862915039
mps-uncap,0.8,19.623756408691406,17.719268798828125,18.10002326965332
mig,0.8,25.543689727783203,15.060186386108398,14.854907989501953
mps-uncap,0.9,14.394998550415039,12.594223022460938,13.463973999023438
mig,0.9,27.32563018798828,13.557910919189453,10.01882553100586
mps-uncap,1.0,23.302078247070312,21.399497985839844,21.360158920288086
mig,1.0,22.43661880493164,6.109714508056641,3.3271312713623047
mps-uncap,1.1,15.493154525756836,14.568090438842773,28.08666229248047
mig,1.1,29.686450958251953,14.948606491088867,14.365196228027344
mps-uncap,1.2,23.786306381225586,23.50616455078125,20.4010009765625
mig,1.2,22.65644073486328,8.624792098999023,12.02535629272461
mps-uncap,1.3,19.30999755859375,19.779205322265625,21.99411392211914
mig,1.3,29.21152114868164,12.354850769042969,16.293764114379883
